实际值,预测值
113.38960266113281,141.17932
110.13853454589844,158.34297
134.76747131347656,167.95874
159.94239807128906,174.68336
147.7926025390625,183.24133
123.84366607666016,190.16985
178.89512634277344,197.96136
185.32020568847656,200.67967
200.5760040283203,208.01581
194.9853973388672,207.65979
112.15019989013672,207.98306
137.27540588378906,201.38914
215.69439697265625,202.66853
132.79580688476562,200.68665
217.77220153808594,198.34387
126.59559631347656,198.03923
87.9540023803711,194.9865
149.11599731445312,189.10017
170.83340454101562,174.43004
163.74940490722656,174.3176
96.61219787597656,164.1377
97.7052001953125,160.15121
107.17259979248047,143.50781
122.70880126953125,132.88394
116.77439880371094,121.28555
99.53820037841797,109.366806
39.1068000793457,98.65142
58.02259826660156,83.5859
45.11819839477539,71.069595
19.906200408935547,58.004826
8.174400329589844,43.87393
8.65939998626709,32.65868
4.108799934387207,24.191168
1.9052000045776367,16.83632
1.9916000366210938,10.777946
0.12139999866485596,6.2890043
0.40139999985694885,2.8265707
0.08160000294446945,1.2793752
0.020400000736117363,0.80379593
0.02280000038444996,0.5779007
0.01875999942421913,0.69796824
0.020519999787211418,0.5969567
0.0258799996227026,0.6517105
0.017640000209212303,0.5783132
0.020400000736117363,0.5880447
0.01899999938905239,0.6077263
0.027799999341368675,0.56605035
0.026599999517202377,0.5076865
0.021199999377131462,0.5549446
0.01269999984651804,0.7240564
0.019600000232458115,0.6612325
0.027000000700354576,0.6631935
0.027799999341368675,0.47157586
0.029200000688433647,0.25849047
0.012600000016391277,0.50490963
0.01940000057220459,0.52520657
0.02160000056028366,0.64416885
0.0284000001847744,0.57818604
0.022199999541044235,1.7261654
0.022199999541044235,0.03573548
0.029400000348687172,0.016822167
0.03060000017285347,0.017936053
0.015599999576807022,0.017235037
0.024000000208616257,0.016325261
0.023399999365210533,0.015178237
0.02239999920129776,0.017653791
0.024000000208616257,0.017867144
0.023800000548362732,0.018048398
0.024000000208616257,0.016297176
0.015200000256299973,0.018879972
0.015399999916553497,0.01769183
0.015599999576807022,0.019235818
0.01600000075995922,0.018139089
0.015799999237060547,0.019855075
0.029200000688433647,0.019636633
0.015599999576807022,0.019196732
0.024000000208616257,0.017852252
0.015799999237060547,0.02331779
0.030799999833106995,-0.015365278
0.022600000724196434,0.05288737
0.026599999517202377,0.6927247
0.0142000000923872,1.5192262
2.0940001010894775,3.9652984
8.906200408935547,7.744206
16.295799255371094,13.441214
23.371700286865234,21.291885
30.444400787353516,28.187855
54.88159942626953,39.091743
65.0426025390625,49.022522
71.07980346679688,57.74474
85.77880096435547,68.93603
101.4843978881836,79.264206
106.78759765625,90.25209
84.53600311279297,101.89622
93.86740112304688,114.999275
119.07140350341797,129.19052
150.8542022705078,140.9366
202.37139892578125,155.62067
174.1981964111328,167.465
104.38500213623047,172.75945
96.70379638671875,180.03061
107.34480285644531,190.85222
213.25399780273438,197.77295
124.63980102539062,202.32675
195.26620483398438,206.95749
207.6417999267578,210.60518
230.63560485839844,207.37442
155.6157989501953,201.53938
132.51060485839844,202.21379
208.11239624023438,203.7901
108.73799896240234,201.53075
96.64520263671875,204.6427
173.82699584960938,200.19762
132.60980224609375,195.36386
176.91439819335938,182.59314
180.62060546875,181.45058
181.89259338378906,175.11023
164.41720581054688,170.91457
147.5417938232422,152.26022
135.20480346679688,140.13628
99.97820281982422,127.22101
112.54060363769531,113.24464
92.92340087890625,103.667175
25.697399139404297,86.68841
45.85860061645508,74.142845
46.476200103759766,62.34821
48.55540084838867,46.578857
23.22920036315918,34.620544
14.388999938964844,25.581167
8.824799537658691,17.908709
3.9151999950408936,12.503311
0.13840000331401825,7.8353753
0.24480000138282776,4.061521
0.01979999989271164,2.1586213
0.026599999517202377,1.483856
0.01940000057220459,1.1627558
0.01979999989271164,1.1518235
0.03020000085234642,1.0094818
0.018799999728798866,0.98050684
0.02879999950528145,1.0028528
0.028200000524520874,0.8777017
0.019200000911951065,0.9256172
0.019600000232458115,0.882443
0.030799999833106995,0.7382213
0.0142000000923872,0.84209806
0.020600000396370888,1.0759906
0.017400000244379044,0.8762856
0.01720000058412552,0.86775017
